,Job Title,Company,Location,Salary($),Job-Type,Job-Description,Link,Scraped_On
0,Senior Engineer - Generative AI Product Engineering (Remote-Eligible),Capital One,"Remote in San Francisco, CA 94102",Not Provided,Full-time,"For years, Capital One has been leading the industry in using machine learning to create real-time, intelligent, automated customer experiences.",https://www.indeed.com/rc/clk?jk=3019924637940142&bb=5hpps1s7BvbZbq0tndXz3KA3ufOo6eOWdjHzz5kW4ysEs_g67HY3xvZ0-gLco4iy5ZVbYX9LAgpEcwk2-5fnIpBF6Y4X5Y46jqqy_KeQv8LrdPKTsOchQDdi5jS2hFN3&xkcb=SoCo67M3-FmvHUxcAh0FbzkdCdPP&fccid=7136762d065a5ad7&vjs=3,2024-07-07
1,AI Engineer - San Francisco,Weights & Biases,"Hybrid work in San Francisco, CA","$182,000 - $248,000 a year",Full-time,Actively engage with the developer community in San Francisco by organizing and attending GenAI-focused events and hackathons.5+ years of industry experience.,https://www.indeed.com/rc/clk?jk=3019924637940142&bb=5hpps1s7BvbZbq0tndXz3KA3ufOo6eOWdjHzz5kW4ysEs_g67HY3xvZ0-gLco4iy5ZVbYX9LAgpEcwk2-5fnIpBF6Y4X5Y46jqqy_KeQv8LrdPKTsOchQDdi5jS2hFN3&xkcb=SoCo67M3-FmvHUxcAh0FbzkdCdPP&fccid=7136762d065a5ad7&vjs=3,2024-07-07
2,"Model Teacher, Technical (Contract)",OpenAI,"San Francisco, CA (Mission area)",Not Provided,Not Provided,"This role will be 20–40 hours a week, and can be done remotely as long as model teachers can dial into meetings in Pacific time business hours (9 am to 5 pm).",https://www.indeed.com/rc/clk?jk=3019924637940142&bb=5hpps1s7BvbZbq0tndXz3KA3ufOo6eOWdjHzz5kW4ysEs_g67HY3xvZ0-gLco4iy5ZVbYX9LAgpEcwk2-5fnIpBF6Y4X5Y46jqqy_KeQv8LrdPKTsOchQDdi5jS2hFN3&xkcb=SoCo67M3-FmvHUxcAh0FbzkdCdPP&fccid=7136762d065a5ad7&vjs=3,2024-07-07
3,Senior Creative Enterprise Developer Relations,Adobe,"San Francisco, CA 94103 (Mission Bay area)","$124,000 - $234,200 a year",Full-time,"Adobe is the market leader in software products and services for the creative & marketing ecosystem through Creative Cloud, Document Cloud, Express, Firefly and…",https://www.indeed.com/rc/clk?jk=3019924637940142&bb=5hpps1s7BvbZbq0tndXz3KA3ufOo6eOWdjHzz5kW4ysEs_g67HY3xvZ0-gLco4iy5ZVbYX9LAgpEcwk2-5fnIpBF6Y4X5Y46jqqy_KeQv8LrdPKTsOchQDdi5jS2hFN3&xkcb=SoCo67M3-FmvHUxcAh0FbzkdCdPP&fccid=7136762d065a5ad7&vjs=3,2024-07-07
4,Staff Data Scientist,Upstart,"Remote in San Mateo, CA","$174,900 - $242,000 a year",Not Provided,"Experience with modern predictive modeling techniques (XGBoost, artificial neural networks).Upstart is a leading AI lending marketplace partnering with banks…",https://www.indeed.com/rc/clk?jk=3019924637940142&bb=5hpps1s7BvbZbq0tndXz3KA3ufOo6eOWdjHzz5kW4ysEs_g67HY3xvZ0-gLco4iy5ZVbYX9LAgpEcwk2-5fnIpBF6Y4X5Y46jqqy_KeQv8LrdPKTsOchQDdi5jS2hFN3&xkcb=SoCo67M3-FmvHUxcAh0FbzkdCdPP&fccid=7136762d065a5ad7&vjs=3,2024-07-07
5,Head of AI Research and Development (100% remote - US),Tether Operations Limited,"Hybrid work in San Francisco, CA",Not Provided,Full-time,This role is uniquely positioned to oversee the creation and optimization of AI solutions across the spectrum from large-scale models designed for advanced…,https://www.indeed.com/rc/clk?jk=3019924637940142&bb=5hpps1s7BvbZbq0tndXz3KA3ufOo6eOWdjHzz5kW4ysEs_g67HY3xvZ0-gLco4iy5ZVbYX9LAgpEcwk2-5fnIpBF6Y4X5Y46jqqy_KeQv8LrdPKTsOchQDdi5jS2hFN3&xkcb=SoCo67M3-FmvHUxcAh0FbzkdCdPP&fccid=7136762d065a5ad7&vjs=3,2024-07-07
6,"Postdoctoral Researcher, Artificial Intelligence (PhD)",Meta,"San Francisco, CA 94105 (Financial District/South Beach area)",Not Provided,Not Provided,Fundamental AI Research (FAIR) conducts cutting-edge research to deepen our understanding of existing AI methods and advance the state-of-the-art.,https://www.indeed.com/rc/clk?jk=3019924637940142&bb=5hpps1s7BvbZbq0tndXz3KA3ufOo6eOWdjHzz5kW4ysEs_g67HY3xvZ0-gLco4iy5ZVbYX9LAgpEcwk2-5fnIpBF6Y4X5Y46jqqy_KeQv8LrdPKTsOchQDdi5jS2hFN3&xkcb=SoCo67M3-FmvHUxcAh0FbzkdCdPP&fccid=7136762d065a5ad7&vjs=3,2024-07-07
7,"Program Manager, Service Quality Innovation",Uber,"San Francisco, CA","$99,000 a year",Full-time,"In this role you will create the strategy and support the build, validation, deployment, and maintenance of all automated quality support processes.",https://www.indeed.com/rc/clk?jk=3019924637940142&bb=5hpps1s7BvbZbq0tndXz3KA3ufOo6eOWdjHzz5kW4ysEs_g67HY3xvZ0-gLco4iy5ZVbYX9LAgpEcwk2-5fnIpBF6Y4X5Y46jqqy_KeQv8LrdPKTsOchQDdi5jS2hFN3&xkcb=SoCo67M3-FmvHUxcAh0FbzkdCdPP&fccid=7136762d065a5ad7&vjs=3,2024-07-07
8,Sr Data Scientist,Fanatics Inc.,"San Mateo, CA 94403 (Bay Meadows area)","$186,846 - $203,000 a year",Full-time,"Build, deploy, and maintain predictive models in the field of AI and Machine Learning.Lead the work of others in small groups of four to six data scientists to…",https://www.indeed.com/rc/clk?jk=3019924637940142&bb=5hpps1s7BvbZbq0tndXz3KA3ufOo6eOWdjHzz5kW4ysEs_g67HY3xvZ0-gLco4iy5ZVbYX9LAgpEcwk2-5fnIpBF6Y4X5Y46jqqy_KeQv8LrdPKTsOchQDdi5jS2hFN3&xkcb=SoCo67M3-FmvHUxcAh0FbzkdCdPP&fccid=7136762d065a5ad7&vjs=3,2024-07-07
9,Public Policy and Government Relations Manager - State and Local,Samsara,"Remote in San Francisco Bay Area, CA",Not Provided,Not Provided,"Knowledge and experience with privacy, artificial intelligence, cybersecurity, or other public policy issues related to data-driven industries.",https://www.indeed.com/rc/clk?jk=3019924637940142&bb=5hpps1s7BvbZbq0tndXz3KA3ufOo6eOWdjHzz5kW4ysEs_g67HY3xvZ0-gLco4iy5ZVbYX9LAgpEcwk2-5fnIpBF6Y4X5Y46jqqy_KeQv8LrdPKTsOchQDdi5jS2hFN3&xkcb=SoCo67M3-FmvHUxcAh0FbzkdCdPP&fccid=7136762d065a5ad7&vjs=3,2024-07-07
