Job Title,Company,Location,Salary($),Job-Type,Job-Description,Raw_Link
"Product Manager, AI Platform",Netflix,"Los Gatos, CA","$240,000 - $725,000 a year",Full-time,We take care of the heavy lifting needed to build compliant and innovative generative AI-powered experiences that support the expanding needs of the business.,https://www.indeed.com/rc/clk?jk=3673138e7b6fdf77&bb=qPbLW1iaxJk932YKN-Rn_A6j_F6-hPhbLqrs0xL_FU5Qofs8s1xP1t_h3CSoAXKbwx6rLwWt4N5R0xAWjiKdIV9kYTDCk3prb6Z28U3YDhLwskeYfiTCQg%3D%3D&xkcb=SoAV67M3-sevK1AXcz0LbzkdCdPP&fccid=66403b30a2c0d89c&vjs=3
RIC - Content Writer,Yakshna Solutions,"Herndon, VA 20170",Not Provided,Not Provided,"We offer a competitive benefits package that includes the following: 401(k), health, dental, and vision insurance, Life insurance, short-term and long-term…",https://www.indeed.com/rc/clk?jk=049e93ebde42e5e6&bb=qPbLW1iaxJk932YKN-Rn_JanhZzTZ2FkIOLXyxH53NMOb-zrihIDggCOaAxIb2_3YXuMIf1tHBfPATa-xalxEltPAbU8E-EUDrA7N0JSXbq92BGupt6JKDJZveO1REbJ&xkcb=SoCh67M3-sevK1AXcz0KbzkdCdPP&fccid=f4ddde57c6cd6afe&vjs=3
Geospatial Technician - Colorado Springs,Sanborn Map Company,"Colorado Springs, CO 80920 (Briargate area)",$17 - $22 an hour,Full-time,"With the latest software and AI/ML methods, Sanborn transforms spatial data into 2D and 3D maps – elevation, natural resources, High Definition transportation…",https://www.indeed.com/rc/clk?jk=eeb084591196edc0&bb=qPbLW1iaxJk932YKN-Rn_IQCgTezhA28dM9VB2y9LwZkPrliIh-sPLgLEENAs95C4qXpcYnYAkaYJ7QpMbpbx5oGBUpcKG88h7QX2X7uesDfaeoy-hNkIJWUR3YbFkhz&xkcb=SoA867M3-sevK1AXcz0JbzkdCdPP&fccid=3924ca567c11286b&vjs=3
Part-Time Research Assistant,Penn State University,"University Park, PA",Not Provided,Part-time,"The School of Global Languages, Literatures, and Cultures in the College of the Liberal Arts seeks to hire 1-2 Research Assistants in the Department of Asian…",https://www.indeed.com/rc/clk?jk=06a186d2b78bea06&bb=qPbLW1iaxJk932YKN-Rn_FpJKU3ZGbKR4MUrBp7o8X4w5gNub-bREWxvxckfCA3YfVpd7ZUFrIXTtVJ8i8s-fIUjgJUM4YhOi3kYA8M3OSHYU9pXkbCYbg%3D%3D&xkcb=SoCI67M3-sevK1AXcz0IbzkdCdPP&fccid=ee32437d8dec00bd&vjs=3
"AI Principles Review Specialist, Trust and Safety",Google,"Austin, TX",Not Provided,Full-time,"Bachelors degree or equivalent practical experience.
4 years of experience in technology, ethics, policy, or program/project management.",https://www.indeed.com/rc/clk?jk=721fd548f60f28d8&bb=qPbLW1iaxJk932YKN-Rn_J1xROjJJqwdL535RmGWA7fzONuPcczFxQap9vKfgn9BQ-P85X3nHz2dcEisbI9kKNT7Wq_gjZNq6m4txOV4EuVUzP-WlhNGwg%3D%3D&xkcb=SoAG67M3-sevK1AXcz0PbzkdCdPP&fccid=a5b4499d9e91a5c6&vjs=3
Artificial Intelligence in Breeding Research Scientist,Corteva,"Hybrid work in Johnston, IA 50131",Not Provided,Not Provided,Become a part of Corteva Agriscience and help shape the future of agriculture with cutting-edge artificial intelligence research.,https://www.indeed.com/rc/clk?jk=fa9252c0b022f061&bb=qPbLW1iaxJk932YKN-Rn_GBRhQJaygOuXbrNfVARexNDoqdtcQWNuRPNOXRfOK0PA21D7TRIZ9BNtRl9ZmrfD0uMqzI5UFive2c8yocTLPQfpXPD1dtlIshURtW82Vwu&xkcb=SoCy67M3-sevK1AXcz0ObzkdCdPP&fccid=d2536e400fa1f147&vjs=3
Co-Op Student: Biomedical Image Processing and Machine Learning (July-December 2024),MIT Lincoln Laboratory,"Lexington, MA",Not Provided,Not Provided,"Our core technical competencies include system-level modeling and gap analysis, advanced sensing and signal processing, machine learning and artificial…",https://www.indeed.com/rc/clk?jk=e3b270da77d5f372&bb=qPbLW1iaxJk932YKN-Rn_HPCCUHu54dUqp78q77YrcGvsCaNiMWdT87BTiFvPow4IHoORns6DVnmxAoVj9At2otRPafESAaKdFFkDwhGIdvOLkwfq3_N2g%3D%3D&xkcb=SoAv67M3-sevK1AXcz0NbzkdCdPP&fccid=a015205ad138ca75&vjs=3
"Media Personality, Cybersecurity",TechnologyAdvice,Remote,Not Provided,Not Provided,"The Cybersecurity Media Personality creates high-quality, authoritative content for technology buyers and related professionals for TechnologyAdvices security…",https://www.indeed.com/rc/clk?jk=f0755326938cc4cd&bb=qPbLW1iaxJk932YKN-Rn_HPCCUHu54dU_f4M-5lHl9xXsV1arsx2W9lCTWCZRfUFr-4h6hChpzjX7O0uaJBSrfZs6dbIausvmtV_pSVww-GWfTLAv7UBbmP6j01kZNsX&xkcb=SoCb67M3-sevK1AXcz0MbzkdCdPP&fccid=2f00ae4e43e5dac3&vjs=3
"Technical Program Manager I, Regional Carrier Certification, Pixel",Google,"Mountain View, CA",Not Provided,Full-time,"Bachelors degree or equivalent practical experience.
1 year of experience in program management.
1 year of experience with hardware development.",https://www.indeed.com/rc/clk?jk=29f9a1f3c982d5e5&bb=qPbLW1iaxJk932YKN-Rn_H4YSZRKJgjp4P9wq9yNFSNrvpWLNiEos0saG2jpSY6hKf_FGyr89kHhjT6a3cNAy0hcJHsQLgpmn4ZSN4ULvqVjqZXctwx4jg%3D%3D&xkcb=SoBy67M3-sevK1AXcz0DbzkdCdPP&fccid=a5b4499d9e91a5c6&vjs=3
"Principal PM, AI Data Chat",Rubrik Job Board,"Palo Alto, CA","$236,000 - $329,200 a year",Not Provided,"Develop a strong understanding of Rubriks existing portfolio, technology and strengths to inform the strategy for our new Generative AI offering.",https://www.indeed.com/rc/clk?jk=78f529c340b74a0c&bb=qPbLW1iaxJk932YKN-Rn_DQmT3TiDAutLrlPzawD9OHuLk3TQ06NIAYcXB0HSS45J2J1mRIusj3B-S0K1-f2rlCuU6NVyi8R5KCfDgWz3JGgt_-ZHE8KX2bJOOLfBmZK&xkcb=SoDG67M3-sevK1AXcz0CbzkdCdPP&fccid=ba03cd038fd30855&vjs=3
