Job Title,Company,Location,Salary($),Job-Type,Job-Description,Raw_Link
Research Assistant,Virginia Tech,"Blacksburg, VA",$15 - $25 an hour,Part-time,The Department of Computer Science and Professor Yan Chen seek an up and coming web developer to assist with current research projects and initiatives.,https://www.indeed.com/rc/clk?jk=57488c456ca49789&bb=uHLNpY60KIicGvf-iQ3mb6lTCLuFf8oitoB90sbvqQNcuCBvqY4zoJmIk53hlU5TgLLkDU5JNX5q3WVMRHYyWLa1gjEzOztVh8d7hLAgG3VobVNWQao3sg_tJojR-OsW&xkcb=SoBR67M3-uk9-Y0TU50LbzkdCdPP&fccid=838875e9df57e8c2&vjs=3
ML Science Manager,Abridge,"Remote in New York, NY","$250,000 - $300,000 a year",Full-time,"Our enterprise-grade technology transforms patient-clinician conversations into structured clinical notes in real-time, with deep EMR integrations.",https://www.indeed.com/rc/clk?jk=c80dadea504899f9&bb=uHLNpY60KIicGvf-iQ3mb_itkpemSPDxm5SZ8H4M9wkA6l61Bw4PVG_RtXRWs1ZnpaU7nf6I1mO2yElAnG8hkRGpBsHIufcc2la63dnHG-q0Al_jcxaoVGpJ-lEZDKwH&xkcb=SoDl67M3-uk9-Y0TU50KbzkdCdPP&fccid=5b2e61563c231592&vjs=3
TheGamer | Gaming Tech Writer,TheGamer,Remote,Not Provided,Full-time +1,"TheGamer.com is looking for a Gaming Tech Writer to boost our coverage as part of the affiliates initiative, covering content such as Buyer’s Guides, Reviews,…",https://www.indeed.com/rc/clk?jk=ed361b6ee1e74a6e&bb=uHLNpY60KIicGvf-iQ3mb9ylDUXAIcB-_HH1OPUFfatv4X6rk6AAFSQbBABxS7vSQ97sF8z5arWKegx-7QLn-felGObk-IaP3JnPbOWtbnR3T-2knMKqc_fan-Qc4IFU&xkcb=SoB467M3-uk9-Y0TU50JbzkdCdPP&fccid=268ccc0f69b776be&vjs=3
Senior People Data Scientist,Workhuman,"Hybrid work in Framingham, MA",Not Provided,Full-time,"This is a hybrid role, requiring presence in our Framingham office at least two times per week.
Across our people analytics and data science engagements with…",https://www.indeed.com/rc/clk?jk=f787544be54285f6&bb=uHLNpY60KIicGvf-iQ3mb32C9y-FcZHSpjLOvlSZPPzk7NmvG2tCppu2V1r19FTKNVJSxOnC_1_3_uiIGGqwbjKYkIoJzifOY2S8pSEIMvmHVANrV9vpmKa3vymS7F0t&xkcb=SoDM67M3-uk9-Y0TU50IbzkdCdPP&fccid=2ee5d5861035d939&vjs=3
"Director, Product Marketing",Automation Anywhere,Remote,Not Provided,Not Provided,"The company’s Automation Success Platform is infused with generative AI and offers process discovery, RPA, end-to-end process orchestration, document processing…",https://www.indeed.com/rc/clk?jk=849390c34c91459f&bb=uHLNpY60KIicGvf-iQ3mb-yRBRnDgB5CD2cQriZGv6VpbTrZ-k-Q8jtXZmUp0qjawdK5aqUJ99r2UIH1OrSRoAO_gLgRZRlEtBwj9pGkK-lkivu_52qOdbp8te7VtIWB&xkcb=SoBC67M3-uk9-Y0TU50PbzkdCdPP&fccid=ab744513af386474&vjs=3
"Director of Product, U-Assist",Uniphore,"Palo Alto, CA","$226,100 - $310,900 a year",Full-time,"Uniphore infuses AI into every part of the enterprise that impacts the customer.
As Director, Product Management for Conversational Agent Assist you are…",https://www.indeed.com/rc/clk?jk=cc452c9c46fa4e4f&bb=uHLNpY60KIicGvf-iQ3mb4hE-Z8XEtdbkmDQ3CncG7Xs2DXlhhtlZQ8OVg1aRWLSajejnQjleQDgcJ6dcYgPDPv8eSjpuLdOWOODm_pIxM7VTQMH6Qq0RPK5a0oi7N-s&xkcb=SoD267M3-uk9-Y0TU50ObzkdCdPP&fccid=34f8c7d77241eaa8&vjs=3
Founding Product Designer,Recruiting From Scratch,Remote,Not Provided,Not Provided,"They are building a data-centric AI to help companies improve quality of their datasets and fix issues with them.
Role Type: In Person or Remote.",https://www.indeed.com/rc/clk?jk=719a869ab626c09d&bb=uHLNpY60KIicGvf-iQ3mbySc36gHUAdLHsaqkjpfk9sl55-XbMHXNko-Kq4Yai7xseaT14TMbtF3P65ZsYCA06147DWr_cuPYKZDL5gsp5-5NzsYSLrTcJA7xW7wYArz&xkcb=SoBr67M3-uk9-Y0TU50NbzkdCdPP&fccid=09e02654c2f26bbd&vjs=3
"Lead/Principal IT Architect, Public Sector Industry Leader (Defense & Security, Civil Sector) - Platinion",Boston Consulting Group,"Washington, DC",Not Provided,Full-time,"Organizations need to anticipate tomorrow’s digital landscape to maintain competitive advantage.
As a Lead or Principal Architect, you will collaborate on…",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ad1FFWZOsBBwBZDGouyCcICeLSd3pQct3wJ1q5dPO7JA73NfCuXMquj2Tg4sX590vnpoFHZaF4sgeKxRS5hHR5SuQnNcN1vB-nPx2VsbWnsvSlDw7CHZXQn2OW_7HWZwOnXfuBHaId2LM1G9vJryYTouOLPk7NjZYCvHz1TF4T1q-nlQV6-S6Gr7-SIukzMDLA-K8QgSWMPkqP4pMwp1ukklLRye1fNVikqrdNMntjEekW5Aq0z2OWf49OVraacODmZJ6mJOzys-h-1m6F0jKo7o6JWvfdL1Zxs8EjNu8Czs4jGg4nCOelz6tmDIn54jFX-3KWX0073mmrg9SsMseAvPpshBFPOvmpJCpwW6LfDfq-D2-064xn4jYQ8Ohw7BvHJIoFp38dMbmkOf_qDC7sEGc8OacAaMKxdDggyjSbFgAihuMBRLQ4DJ_oDf9XthgmrkxHKWGkwm7v2B2wXmYVZPDYwPFm3SgTNX1Tbg6oGXLVI8ZRqnzVh96ANlbGw5uiDKGw4yPYl-ZCFGAJadzJBWnkQ0cCjPmFXZUEPn_3BvUZftq-Qyj-ZZFUdpRtIr_ju81KOv--GyexP929PLr0eVOM6iuZHAlrPM_Ud1WVX3DxGQ7F3oWtkAaKcH_BQBJ5wECCM1lHUJPsDlw8g4FvkYwiD0ukB60nJFE3twpFb4bwEWIOpgJ6mhpydFPTHjcnE_u8U2QUwM7d0XSXl_Cn12wKud2dVs2MMVuXBQFAHgAz4hxHEIYNchZIxUNRi_-yJ0nNEUaqqT7zMq1BUtIHN63Mg7s1mI7EguRC2dOtVVTEdTD_zdpxQER-Uys4WKxw-QauL0XX0Syz2m-4BwtoiCK9otYzkM8bsUfV2WF2dpDftRdiI2NweoZxUpwH2LSHvXEY-YIvY2VXEeqLNSUQqWZKFFelv9YSrwszyZ_u9a0mKWOgnjrYZUnmETe1PyJ5kTBbz40xumU0TCpF3kVtbrM4ISHzIqfYp9TkjR-ksdbF78exfhPcpZ8PwHpH55GT3jDCZOQPGkPt3BReO2WBEz3sBkzSu_EBKtu-BuznV-UvIjJ1RjCJ3iqTOP1XbxEBwwU6ZhyryW_qx5RkCzQxkJQKYq0NBQbdZlul9tGN31l505-kRyi2EWLel9cEjUbYpN8JhhFMKkbDYdHwWIpQFUgkY71KsI7o5PbUBcT-I0lVWsU87QFxS_1b3WGGbkl6vKuK8lerb_qmY1JQHyEv-s2_VUs_G2EMB2t3gpWK-RzPhGBOI4O5rRJQY2hg5YuxbODPg8GGJCANj7JH0zDN36lLXc_HEcq2aLJUqJeE0SQOfM1Bjc_VL0-gLJwxM1X_vW7hNtF2HK3tUCAROTv767vKeTZx1UKauEdVO8SUC8BG8qDpz6l5FrrIBJ6vZY2Oqoe6V_CUT78Oz2yIQjEvxvLRH6xnGp_DUsYZjfCp6pMnr6TRe-V3&xkcb=SoAr6_M3-uk9-Y0TU50MbzkdCdPP&camk=nUmJqO2E8rgYY6ZEg7fMWw==&p=7&fvj=0&vjs=3
AI Engineer,Cornerstone Defense,"Bethesda, MD",Not Provided,Not Provided,"View all Cornerstone Defense jobs in Bethesda, MD - Bethesda jobs - Engineer jobs in Bethesda, MDSalary Search: AI Engineer salaries in Bethesda, MDSee popular questions & answers about Cornerstone Defense",https://www.indeed.com/rc/clk?jk=61b528624c24ea78&bb=uHLNpY60KIicGvf-iQ3mb2lnnmZqYSYEmdb0FSP9a6Yeyq0dGVaVeflMIwbCDmQjrFqvXbebIGhvWsSKKxysHPlx1E9JplKk5d5RtRyKiHSVDAEs2Hdz39LwMAGnsIkZ&xkcb=SoA267M3-uk9-Y0TU50DbzkdCdPP&fccid=c4dad3c95358e466&vjs=3
Chatbot Developer,ADP,"Roseland, NJ 07068",Not Provided,Full-time,You will help us reinvent how associates connect with HR using technology and how we provide support by merging automation with user experience.,https://www.indeed.com/rc/clk?jk=d67bcf4a4edb0da6&bb=uHLNpY60KIicGvf-iQ3mbxwWagW-NI3fLDBvp9Biv9901OJI-l83X7sj5ZnWdgTJkgCxPIUSDNPp3vslZ4ENJwnIfoBhi3reU-39TaNWQTLtDUbv9AT2pQ%3D%3D&xkcb=SoCC67M3-uk9-Y0TU50CbzkdCdPP&fccid=e996c2d6855fe778&vjs=3
